1268,Autism spectrum disorder,9995,0
1269,Autism,1268,0
1270,Asperger syndrome,1268,0
1274,Primary mitochondrial disease,9995,0
A0A0B4J1V1,HV321_HUMAN,225,1
A0A140G945,CRYA2_HUMAN,898,1
A0PJY2,FEZF1_HUMAN,225,1
A0PJY2,FEZF1_HUMAN,956,1
A0PJY2,FEZF1_HUMAN,1016,1
A1L188,NDUF8_HUMAN,225,1
A1L188,NDUF8_HUMAN,1274,1
A1X283,SPD2B_HUMAN,225,1
A1XBS5,FA92A_HUMAN,225,1
A1YPR0,ZBT7C_HUMAN,43,1
A2PYH4,HFM1_HUMAN,225,1
A2PYH4,HFM1_HUMAN,1066,1
A2RRD8,ZN320_HUMAN,656,1
A2RRP1,NBAS_HUMAN,225,1
A2RRP1,NBAS_HUMAN,242,1
A4D126,ISPD_HUMAN,225,1
A4D126,ISPD_HUMAN,451,1
A4D126,ISPD_HUMAN,912,1
A4D126,ISPD_HUMAN,947,1
A4D126,ISPD_HUMAN,1215,1
A5D8V7,ODAD3_HUMAN,1012,1
A5YKK6,CNOT1_HUMAN,225,1
A5YKK6,CNOT1_HUMAN,370,1
A5YKK6,CNOT1_HUMAN,991,1
A5YKK6,CNOT1_HUMAN,1268,1
A6H8Y1,BDP1_HUMAN,1010,1
A6NCS4,NKX26_HUMAN,225,1
A6NFK2,GRCR2_HUMAN,1010,1
A6NFY7,SDHF1_HUMAN,225,1
A6NFY7,SDHF1_HUMAN,1274,1
A6NGG8,PCARE_HUMAN,225,1
A6NGG8,PCARE_HUMAN,682,1
A6NGG8,PCARE_HUMAN,1186,1
A6NHR9,SMHD1_HUMAN,225,1
A6NHR9,SMHD1_HUMAN,956,1
A6NHR9,SMHD1_HUMAN,1013,1
A6NHR9,SMHD1_HUMAN,1016,1
A6NI61,MYMK_HUMAN,225,1
A6NK58,LIPT2_HUMAN,225,1
A6NNB3,IFM5_HUMAN,225,1
A6NNB3,IFM5_HUMAN,1065,1
A6NNN8,S38A8_HUMAN,225,1
A6NNY8,UBP27_HUMAN,225,1
A6NNY8,UBP27_HUMAN,991,1
A7XYQ1,SOBP_HUMAN,991,1
A8MTZ0,BBIP1_HUMAN,83,1
A8MTZ0,BBIP1_HUMAN,550,1
A8MXD5,GRCR1_HUMAN,225,1
A8MXD5,GRCR1_HUMAN,1010,1
B1AK53,ESPN_HUMAN,225,1
B1AK53,ESPN_HUMAN,682,1
B1AK53,ESPN_HUMAN,836,1
B1AK53,ESPN_HUMAN,1010,1
B2RTY4,MYO9A_HUMAN,225,1
B2RTY4,MYO9A_HUMAN,1004,1
B2RXF5,ZBT42_HUMAN,225,1
B7U540,KCJ18_HUMAN,225,1
C9JE40,PATL2_HUMAN,225,1
C9JR72,KBTBD_HUMAN,225,1
C9JR72,KBTBD_HUMAN,1057,1
D6RGH6,MCIN_HUMAN,225,1
D6RGH6,MCIN_HUMAN,990,1
I0J062,PANO1_HUMAN,43,1
O00116,ADAS_HUMAN,225,1
O00116,ADAS_HUMAN,242,1
O00116,ADAS_HUMAN,685,1
O00116,ADAS_HUMAN,898,1
O00139,KIF2A_HUMAN,225,1
O00139,KIF2A_HUMAN,451,1
O00142,KITM_HUMAN,225,1
O00142,KITM_HUMAN,935,1
O00160,MYO1F_HUMAN,225,1
O00160,MYO1F_HUMAN,1010,1
O00165,HAX1_HUMAN,225,1
O00170,AIP_HUMAN,1062,1
O00187,MASP2_HUMAN,225,1
O00189,AP4M1_HUMAN,890,1
O00203,AP3B1_HUMAN,225,1
O00203,AP3B1_HUMAN,363,1
O00204,ST2B1_HUMAN,225,1
O00204,ST2B1_HUMAN,977,1
O00206,TLR4_HUMAN,913,1
O00217,NDUS8_HUMAN,225,1
O00217,NDUS8_HUMAN,1274,1
O00232,PSD12_HUMAN,991,1
O00238,BMR1B_HUMAN,225,1
O00238,BMR1B_HUMAN,242,1
O00253,AGRP_HUMAN,225,1
O00253,AGRP_HUMAN,550,1
O00255,MEN1_HUMAN,225,1
O00287,RFXAP_HUMAN,705,1
O00291,HIP1_HUMAN,523,1
O00292,LFTY2_HUMAN,225,1
O00292,LFTY2_HUMAN,1056,1
O00294,TULP1_HUMAN,225,1
O00294,TULP1_HUMAN,682,1
O00294,TULP1_HUMAN,901,1
O00300,TR11B_HUMAN,225,1
O00303,EIF3F_HUMAN,225,1
O00303,EIF3F_HUMAN,991,1
O00305,CACB4_HUMAN,225,1
O00305,CACB4_HUMAN,887,1
O00329,PK3CD_HUMAN,225,1
O00337,S28A1_HUMAN,225,1
O00358,FOXE1_HUMAN,225,1
O00358,FOXE1_HUMAN,984,1
O00400,ACATN_HUMAN,209,1
O00400,ACATN_HUMAN,225,1
O00400,ACATN_HUMAN,890,1
O00400,ACATN_HUMAN,898,1
O00423,EMAL1_HUMAN,225,1
O00423,EMAL1_HUMAN,451,1
O00423,EMAL1_HUMAN,887,1
O00423,EMAL1_HUMAN,991,1
O00429,DNM1L_HUMAN,225,1
O00443,P3C2A_HUMAN,225,1
O00443,P3C2A_HUMAN,242,1
O00443,P3C2A_HUMAN,898,1
O00444,PLK4_HUMAN,242,1
O00459,P85B_HUMAN,225,1
O00468,AGRIN_HUMAN,225,1
O00468,AGRIN_HUMAN,1004,1
O00469,PLOD2_HUMAN,225,1
O00469,PLOD2_HUMAN,1065,1
O00483,NDUA4_HUMAN,431,1
O00499,BIN1_HUMAN,225,1
O00512,BCL9_HUMAN,656,1
O00522,KRIT1_HUMAN,225,1
O00534,VMA5A_HUMAN,43,1
O00548,DLL1_HUMAN,887,1
O00548,DLL1_HUMAN,991,1
O00548,DLL1_HUMAN,1268,1
O00555,CAC1A_HUMAN,225,1
O00555,CAC1A_HUMAN,887,1
O00555,CAC1A_HUMAN,950,1
O00567,NOP56_HUMAN,950,1
O00571,DDX3X_HUMAN,225,1
O00571,DDX3X_HUMAN,991,1
O00584,RNT2_HUMAN,225,1
O00623,PEX12_HUMAN,225,1
O00623,PEX12_HUMAN,861,1
O00628,PEX7_HUMAN,209,1
O00628,PEX7_HUMAN,225,1
O00628,PEX7_HUMAN,682,1
O00628,PEX7_HUMAN,685,1
O00628,PEX7_HUMAN,898,1
O00628,PEX7_HUMAN,958,1
O00628,PEX7_HUMAN,977,1
O00712,NFIB_HUMAN,225,1
O00712,NFIB_HUMAN,991,1
O00744,WN10B_HUMAN,225,1
O00754,MA2B1_HUMAN,225,1
O00755,WNT7A_HUMAN,225,1
O00764,PDXK_HUMAN,144,1
O00764,PDXK_HUMAN,225,1
O00764,PDXK_HUMAN,523,1
O14493,CLD4_HUMAN,856,1
O14497,ARI1A_HUMAN,991,1
O14519,CDKA1_HUMAN,43,1
O14521,DHSD_HUMAN,225,1
O14521,DHSD_HUMAN,1274,1
O14529,CUX2_HUMAN,225,1
O14529,CUX2_HUMAN,887,1
O14578,CTRO_HUMAN,225,1
O14578,CTRO_HUMAN,905,1
O14593,RFXK_HUMAN,225,1
O14593,RFXK_HUMAN,705,1
O14617,AP3D1_HUMAN,363,1
O14640,DVL1_HUMAN,242,1
O14646,CHD1_HUMAN,225,1
O14646,CHD1_HUMAN,991,1
O14647,CHD2_HUMAN,225,1
O14647,CHD2_HUMAN,887,1
O14649,KCNK3_HUMAN,225,1
O14653,GOSR2_HUMAN,225,1
O14653,GOSR2_HUMAN,523,1
O14653,GOSR2_HUMAN,887,1
O14654,IRS4_HUMAN,225,1
O14654,IRS4_HUMAN,984,1
O14656,TOR1A_HUMAN,225,1
O14656,TOR1A_HUMAN,1023,1
O14672,ADA10_HUMAN,26,1
O14672,ADA10_HUMAN,225,1
O14672,ADA10_HUMAN,523,1
O14672,ADA10_HUMAN,1008,1
O14678,ABCD4_HUMAN,225,1
O14681,EI24_HUMAN,225,1
O14686,KMT2D_HUMAN,225,1
O14686,KMT2D_HUMAN,991,1
O14745,NHRF1_HUMAN,225,1
O14746,TERT_HUMAN,225,1
O14746,TERT_HUMAN,1011,1
O14764,GBRD_HUMAN,225,1
O14764,GBRD_HUMAN,887,1
O14770,MEIS2_HUMAN,225,1
O14770,MEIS2_HUMAN,991,1
O14773,TPP1_HUMAN,225,1
O14773,TPP1_HUMAN,525,1
