10	ENSG00000156006
100	ENSG00000196839
1000	ENSG00000170558
1001	ENSG00000062038
1002	ENSG00000179242
1004	ENSG00000113361
1005	ENSG00000081138
1006	ENSG00000150394
1007	ENSG00000113100
1008	ENSG00000040731
101	ENSG00000151651
1010	ENSG00000154162
1013	ENSG00000129910
1014	ENSG00000166589
1015	ENSG00000079112
1016	ENSG00000145526
1017	ENSG00000123374
1018	ENSG00000250506
1020	ENSG00000164885
1021	ENSG00000105810
1022	ENSG00000134058
1024	ENSG00000132964
1025	ENSG00000136807
1028	ENSG00000129757
1029	ENSG00000147889
1031	ENSG00000123080
1032	ENSG00000129355
1033	ENSG00000100526
1036	ENSG00000129596
1039	ENSG00000140743
1041	ENSG00000204539
1043	ENSG00000169442
1044	ENSG00000113722
1045	ENSG00000165556
1046	ENSG00000131264
1047	ENSG00000153132
1048	ENSG00000105388
105	ENSG00000185736
1050	ENSG00000245848
1053	ENSG00000092067
1056	ENSG00000170835
1058	ENSG00000115163
1059	ENSG00000125817
1060	ENSG00000145241
1062	ENSG00000138778
1063	ENSG00000117724
1066	ENSG00000198848
1068	ENSG00000177143
107	ENSG00000164742
1070	ENSG00000153140
1071	ENSG00000087237
108	ENSG00000078295
1080	ENSG00000001626
1081	ENSG00000135346
1082	ENSG00000104827
1084	ENSG00000170956
1087	ENSG00000007306
1088	ENSG00000124469
1089	ENSG00000105352
1101	ENSG00000136457
1104	ENSG00000180198
1105	ENSG00000153922
1109	ENSG00000198610
1111	ENSG00000149554
1113	ENSG00000100604
1114	ENSG00000089199
1116	ENSG00000133048
1117	ENSG00000064886
1118	ENSG00000133063
1119	ENSG00000110721
1122	ENSG00000203668
1123	ENSG00000128656
1124	ENSG00000106069
1124	ENSG00000285162
1130	ENSG00000143669
1131	ENSG00000133019
1134	ENSG00000138435
1136	ENSG00000080644
1137	ENSG00000101204
1139	ENSG00000175344
1140	ENSG00000170175
1142	ENSG00000147432
1143	ENSG00000117971
1145	ENSG00000108556
1146	ENSG00000196811
1147	ENSG00000213341
1149	ENSG00000176194
115	ENSG00000162104
1154	ENSG00000114737
1158	ENSG00000104879
116	ENSG00000141433
1160	ENSG00000131730
1164	ENSG00000123975
1178	ENSG00000105205
1179	ENSG00000016490
1180	ENSG00000188037
1181	ENSG00000114859
1183	ENSG00000073464
1184	ENSG00000171365
1185	ENSG00000011021
1186	ENSG00000103249
1187	ENSG00000186510
1188	ENSG00000184908
119	ENSG00000075340
1200	ENSG00000166340
1203	ENSG00000102805
1208	ENSG00000137392
1212	ENSG00000175416
1230	ENSG00000163823
1232	ENSG00000183625
1234	ENSG00000160791
1235	ENSG00000112486
1236	ENSG00000126353
1237	ENSG00000179934
1238	ENSG00000144648
124	ENSG00000187758
1240	ENSG00000174600
1241	ENSG00000213903
1244	ENSG00000023839
125	ENSG00000196616
1258	ENSG00000070729
1259	ENSG00000198515
126	ENSG00000248144
1261	ENSG00000144191
1267	ENSG00000173786
1268	ENSG00000118432
1269	ENSG00000188822
1270	ENSG00000242689
1272	ENSG00000018236
1277	ENSG00000108821
1280	ENSG00000139219
1285	ENSG00000169031
1286	ENSG00000081052
1288	ENSG00000197565
1289	ENSG00000130635
1291	ENSG00000142156
1294	ENSG00000114270
1295	ENSG00000144810
1297	ENSG00000112280
1298	ENSG00000049089
1299	ENSG00000092758
130	ENSG00000172955
1300	ENSG00000123500
1301	ENSG00000060718
1302	ENSG00000204248
1305	ENSG00000197467
1308	ENSG00000065618
131	ENSG00000196344
1311	ENSG00000105664
1312	ENSG00000093010
1314	ENSG00000122218
1317	ENSG00000136868
1318	ENSG00000136867
132	ENSG00000156110
1326	ENSG00000107968
1339	ENSG00000156885
134	ENSG00000163485
1347	ENSG00000112695
135	ENSG00000128271
1352	ENSG00000006695
1353	ENSG00000166260
1355	ENSG00000014919
1356	ENSG00000047457
1357	ENSG00000091704
1358	ENSG00000158516
1359	ENSG00000163751
136	ENSG00000170425
1360	ENSG00000153002
1361	ENSG00000080618
1362	ENSG00000108582
1365	ENSG00000165215
1369	ENSG00000120054
1370	ENSG00000178772
1371	ENSG00000080819
1373	ENSG00000021826
1374	ENSG00000110090
1375	ENSG00000205560
1376	ENSG00000157184
1378	ENSG00000203710
1380	ENSG00000117322
1381	ENSG00000166426
1382	ENSG00000143320
1384	ENSG00000095321
1385	ENSG00000118260
1386	ENSG00000115966
1387	ENSG00000005339
1388	ENSG00000213676
1389	ENSG00000111269
1390	ENSG00000095794
1392	ENSG00000147571
1393	ENSG00000145708
1394	ENSG00000120088
1395	ENSG00000106113
1398	ENSG00000167193
140	ENSG00000282608
1400	ENSG00000072832
1401	ENSG00000132693
1404	ENSG00000145681
1407	ENSG00000008405
