124659,ncbigene,10,uniprot,P11245
124660,ncbigene,10,uniprot,A4Z6T7
124661,ncbigene,100,uniprot,P00813
124662,ncbigene,100,uniprot,A0A0S2Z381
124663,ncbigene,100,uniprot,F5GWI4
124664,ncbigene,1000,uniprot,P19022
124665,ncbigene,1000,uniprot,A0A024RC42
124666,ncbigene,1000,uniprot,C9J126
124667,ncbigene,1001,uniprot,P22223
124668,ncbigene,1001,uniprot,B4DLF0
124669,ncbigene,1002,uniprot,P55283
124670,ncbigene,1004,uniprot,P55285
124671,ncbigene,1005,uniprot,F5H5X9
124672,ncbigene,1005,uniprot,Q9ULB5
124673,ncbigene,1005,uniprot,Q8IY78
124674,ncbigene,1006,uniprot,P55286
124675,ncbigene,1007,uniprot,Q9ULB4
124676,ncbigene,1008,uniprot,Q9Y6N8
124677,ncbigene,1008,uniprot,X5D8X5
124678,ncbigene,1008,uniprot,X5DNG6
124679,ncbigene,101,uniprot,P78325
124680,ncbigene,101,uniprot,Q14C66
124681,ncbigene,1010,uniprot,P55289
124682,ncbigene,1013,uniprot,P55291
124683,ncbigene,1014,uniprot,O75309
124684,ncbigene,1015,uniprot,Q12864
124685,ncbigene,1016,uniprot,D6RER2
124686,ncbigene,1016,uniprot,Q13634
124687,ncbigene,1017,uniprot,P24941
124688,ncbigene,1017,uniprot,A0A024RB10
124689,ncbigene,1017,uniprot,A0A024RB77
124690,ncbigene,1017,uniprot,E7ESI2
124691,ncbigene,1017,uniprot,G3V5T9
124692,ncbigene,1017,uniprot,B4DDL9
124693,ncbigene,1018,uniprot,Q00526
124694,ncbigene,1020,uniprot,Q00535
124695,ncbigene,1020,uniprot,A0A090N7W4
124696,ncbigene,1020,uniprot,A0A0S2Z355
124697,ncbigene,1021,uniprot,Q00534
124698,ncbigene,1022,uniprot,P50613
124699,ncbigene,1022,uniprot,A0A0S2Z3F9
124700,ncbigene,1022,uniprot,D6R9G1
124701,ncbigene,1022,uniprot,D6RFL0
124702,ncbigene,1024,uniprot,P49336
124703,ncbigene,1025,uniprot,P50750
124704,ncbigene,1025,uniprot,A0A024R880
124705,ncbigene,1028,uniprot,P49918
124706,ncbigene,1029,uniprot,K7PML8
124707,ncbigene,1029,uniprot,P42771
124708,ncbigene,1029,uniprot,Q8N726
124709,ncbigene,1031,uniprot,P42773
124710,ncbigene,1031,uniprot,Q6ICV4
124711,ncbigene,1032,uniprot,A0A024R796
124712,ncbigene,1032,uniprot,P55273
124713,ncbigene,1033,uniprot,G3V2J7
124714,ncbigene,1033,uniprot,Q16667
124715,ncbigene,1036,uniprot,Q16878
124716,ncbigene,1038,uniprot,P51861
124717,ncbigene,1039,uniprot,Q01850
124718,ncbigene,1041,uniprot,G8JLG2
124719,ncbigene,1041,uniprot,Q15517
124720,ncbigene,1043,uniprot,P31358
124721,ncbigene,1043,uniprot,V9HWN9
124722,ncbigene,1044,uniprot,P47902
124723,ncbigene,1045,uniprot,Q99626
124724,ncbigene,1046,uniprot,O14627
124725,ncbigene,1047,uniprot,O14967
124726,ncbigene,1047,uniprot,A0A140VKG2
124727,ncbigene,1048,uniprot,A0A024R0K5
124728,ncbigene,1048,uniprot,P06731
124729,ncbigene,1048,uniprot,Q53G30
124730,ncbigene,105,uniprot,Q9NS39
124731,ncbigene,1050,uniprot,P49715
124732,ncbigene,1053,uniprot,Q15744
124733,ncbigene,1056,uniprot,B4DSX9
124734,ncbigene,1056,uniprot,O75612
124735,ncbigene,1056,uniprot,Q86SR3
124736,ncbigene,1058,uniprot,P49450
124737,ncbigene,1059,uniprot,P07199
124738,ncbigene,1060,uniprot,Q03188
124739,ncbigene,1062,uniprot,Q02224
124740,ncbigene,1063,uniprot,P49454
124741,ncbigene,1066,uniprot,P23141
124742,ncbigene,1068,uniprot,Q12798
124743,ncbigene,1068,uniprot,A0A140VJG3
124744,ncbigene,107,uniprot,Q08828
